Numero,Nom_intervenants,Date_seances,Num_page,Titre,Texte,Thème
110,"Mme Dominique Faure,",29 novembre 2022,7084,QUESTIONS ORALES,,
111,Mme la présidente.,29 novembre 2022,7084,QUESTIONS ORALES,,
112,Mme Jacqueline Eustache-Brinio.,29 novembre 2022,7084,QUESTIONS ORALES,,
113,Mme la présidente.,29 novembre 2022,7084,QUESTIONS ORALES,,
114,M. Thani Mohamed Soilihi.,29 novembre 2022,7084,QUESTIONS ORALES,,
115,Mme la présidente.,29 novembre 2022,7084,QUESTIONS ORALES,,
116,"Mme Dominique Faure,",29 novembre 2022,7084,QUESTIONS ORALES,,
117,Mme la présidente.,29 novembre 2022,7084,QUESTIONS ORALES,,
118,M. Thani Mohamed Soilihi.,29 novembre 2022,7084,QUESTIONS ORALES,,
119,Mme la présidente.,29 novembre 2022,7085,QUESTIONS ORALES,,
120,Mme Patricia Demas.,29 novembre 2022,7085,QUESTIONS ORALES,,
121,Mme la présidente.,29 novembre 2022,7085,QUESTIONS ORALES,,
122,"Mme Dominique Faure,",29 novembre 2022,7085,QUESTIONS ORALES,,
123,Mme la présidente.,29 novembre 2022,7085,QUESTIONS ORALES,,
124,M. Jean-Baptiste Blanc.,29 novembre 2022,7085,QUESTIONS ORALES,,
125,Mme la présidente.,29 novembre 2022,7086,QUESTIONS ORALES,,
126,"Mme Dominique Faure,",29 novembre 2022,7086,QUESTIONS ORALES,,
127,Mme la présidente.,29 novembre 2022,7086,QUESTIONS ORALES,,
128,Mme Sylviane Noël.,29 novembre 2022,7086,QUESTIONS ORALES,,
129,Mme la présidente.,29 novembre 2022,7086,QUESTIONS ORALES,,
130,"Mme Dominique Faure,",29 novembre 2022,7086,QUESTIONS ORALES,,
131,Mme la présidente.,29 novembre 2022,7087,QUESTIONS ORALES,,
132,Mme Sylviane Noël.,29 novembre 2022,7087,QUESTIONS ORALES,,
133,Mme la présidente.,29 novembre 2022,7087,QUESTIONS ORALES,,
134,M. François Bonhomme.,29 novembre 2022,7087,QUESTIONS ORALES,,
135,Mme la présidente.,29 novembre 2022,7087,QUESTIONS ORALES,,
136,"Mme Dominique Faure,",29 novembre 2022,7087,QUESTIONS ORALES,,
137,Mme la présidente.,29 novembre 2022,7087,QUESTIONS ORALES,,
138,M. François Bonhomme.,29 novembre 2022,7087,QUESTIONS ORALES,,
139,Mme la présidente.,29 novembre 2022,7087,QUESTIONS ORALES,,
140,M. Dany Wattebled.,29 novembre 2022,7087,QUESTIONS ORALES,,
141,Mme la présidente.,29 novembre 2022,7088,QUESTIONS ORALES,,
142,"Mme Dominique Faure,",29 novembre 2022,7088,QUESTIONS ORALES,,
143,Mme la présidente.,29 novembre 2022,7088,QUESTIONS ORALES,,
144,M. Gilbert-Luc Devinaz.,29 novembre 2022,7088,QUESTIONS ORALES,,
145,Mme la présidente.,29 novembre 2022,7088,QUESTIONS ORALES,,
146,"Mme Sarah El Haïry,",29 novembre 2022,7088,QUESTIONS ORALES,,
147,Mme la présidente.,29 novembre 2022,7089,QUESTIONS ORALES,,
148,M. Gilbert-Luc Devinaz.,29 novembre 2022,7089,QUESTIONS ORALES,,
149,Mme la présidente.,29 novembre 2022,7089,QUESTIONS ORALES,,
150,M. Pierre-Jean Verzelen.,29 novembre 2022,7089,QUESTIONS ORALES,,
151,Mme la présidente.,29 novembre 2022,7089,QUESTIONS ORALES,,
152,"Mme Sarah El Haïry,",29 novembre 2022,7089,QUESTIONS ORALES,,
153,Mme la présidente.,29 novembre 2022,7090,QUESTIONS ORALES,,
154,M. Rémi Féraud.,29 novembre 2022,7090,QUESTIONS ORALES,,
155,Mme la présidente.,29 novembre 2022,7090,QUESTIONS ORALES,,
156,"Mme Sarah El Haïry,",29 novembre 2022,7090,QUESTIONS ORALES,,
157,Mme la présidente.,29 novembre 2022,7090,QUESTIONS ORALES,,
158,M. Cédric Perrin.,29 novembre 2022,7091,QUESTIONS ORALES,,
159,Mme la présidente.,29 novembre 2022,7091,QUESTIONS ORALES,,
160,"Mme Sarah El Haïry,",29 novembre 2022,7091,QUESTIONS ORALES,,
161,Mme la présidente.,29 novembre 2022,7091,QUESTIONS ORALES,,
162,M. Cédric Perrin.,29 novembre 2022,7091,QUESTIONS ORALES,,
163,Mme la présidente.,29 novembre 2022,7091,QUESTIONS ORALES,,
164,M. Guillaume Chevrollier.,29 novembre 2022,7091,QUESTIONS ORALES,,
165,Mme la présidente.,29 novembre 2022,7092,QUESTIONS ORALES,,
166,"Mme Sarah El Haïry,",29 novembre 2022,7092,QUESTIONS ORALES,,
167,Mme la présidente.,29 novembre 2022,7092,QUESTIONS ORALES,,
168,Mme Françoise Gatel.,29 novembre 2022,7092,QUESTIONS ORALES,,
169,Mme la présidente.,29 novembre 2022,7092,QUESTIONS ORALES,,
170,"Mme Sarah El Haïry,",29 novembre 2022,7092,QUESTIONS ORALES,,
171,Mme la présidente.,29 novembre 2022,7093,QUESTIONS ORALES,,
172,Mme Françoise Gatel.,29 novembre 2022,7093,QUESTIONS ORALES,,
173,Mme la présidente.,29 novembre 2022,7093,QUESTIONS ORALES,,
174,M. Stéphane Piednoir.,29 novembre 2022,7093,QUESTIONS ORALES,,
175,Mme la présidente.,29 novembre 2022,7093,QUESTIONS ORALES,,
176,"Mme Sarah El Haïry,",29 novembre 2022,7093,QUESTIONS ORALES,,
177,Mme la présidente.,29 novembre 2022,7093,QUESTIONS ORALES,,
178,Mme Laurence Harribey.,29 novembre 2022,7093,QUESTIONS ORALES,,
179,Mme la présidente.,29 novembre 2022,7094,QUESTIONS ORALES,,
180,"Mme Sarah El Haïry,",29 novembre 2022,7094,QUESTIONS ORALES,,
181,Mme la présidente.,29 novembre 2022,7094,QUESTIONS ORALES,,
182,Mme Laurence Harribey.,29 novembre 2022,7094,QUESTIONS ORALES,,
183,Mme la présidente.,29 novembre 2022,7094,QUESTIONS ORALES,,
184,M. Daniel Salmon.,29 novembre 2022,7094,QUESTIONS ORALES,,
185,Mme la présidente.,29 novembre 2022,7094,QUESTIONS ORALES,,
186,"Mme Sarah El Haïry,",29 novembre 2022,7094,QUESTIONS ORALES,,
187,Mme la présidente.,29 novembre 2022,7095,QUESTIONS ORALES,,
188,M. Daniel Salmon.,29 novembre 2022,7095,QUESTIONS ORALES,,
189,Mme la présidente.,29 novembre 2022,7095,QUESTIONS ORALES,,
190,Mme Annick Jacquemet.,29 novembre 2022,7095,QUESTIONS ORALES,,
191,Mme la présidente.,29 novembre 2022,7095,QUESTIONS ORALES,,
192,"Mme Geneviève Darrieussecq,",29 novembre 2022,7095,QUESTIONS ORALES,,
193,Mme la présidente.,29 novembre 2022,7095,QUESTIONS ORALES,,
